SKU;Nama Item;Satuan;Sold
MCN20030101;Sambal Mamah;Gram;1647
MCN20020101;Sambal Tomat;Gram;1404
MCN20010101;Sambal Matah;Gram;2041
MCN20050101;Bumbu Crisbar;Gram;9936
MCN20060101;JRBCSS 523 G;Gram;0
SKH30010101;Ayam;Pcs;1330
BGP10010101;Box Packaging Take Away Combo;Pcs;733
BGP10020101;Box Packaging Alacarte;Pcs;319
BGP10040101;Box Packaging Paper Bag;Pcs;0
SPD10020101;Paperbowl 5 oz;Pcs;0
RJC10160201;Beras Putih;Gram;117642,216
RJC10020101;Tepung Racik;Gram;107447,52139099999
RJC10010101;Bawang Putih Kupas;Gram;3771,21
RJC20040101;Cengek Domba Lembang;Gram;0
RJC20080101;Tahu;Pcs;173
RJC20090101;Tempe;Papan;9,75
RJC20070101;Selada Bokor;Gram;13759
RJC20060101;Kemangi;Gram;5012
RJC20030101;Kol;Gram;7950
RJC20050101;Daun Salam;Gram;1,2221
RJC20100101;Terong Ungu Biasa;Gram;10249,958999999999
RJC20110101;Tomat Kecil;Gram;1760
RJC10150101;Kerupuk;Pcs;14
ATL30010201;Es Batu;Gram;84500
AIR10010101;Air Galon;ml;460583,88772000006
TNM10030201;Minyak Goreng;L;199,10100887878792
RJC10180101;Bawang Bombay;Gram;2378,787855
RJC10190101;Saos Sambal Sachet SASA;Sachet;0
TNH30010101;Kulit Ayam;Gram;12040
TNH10020201;Telur;Pcs;80
TNM10020201;Gula Merah;Gram;1425,663
TNM10030201;Keju (Wincheese);Gram;2360
TNM10080201;Kecap (ABC);Gram;30,55558
FRS10030201;Silky Pudding Biscuit;Pcs;0
FRS10010201;Teh Manis (Teh Sisri);Bungkus;727,5
NES10010201;Orange;Gr;822,5
NES10020201;Milo;Gr;1430
NES10040201;Lemon Tea;Gr;1562,5
NES10050201;Maggie Lezat;Gram;3919
GNM10020201;Tisu (Livi Multipurpose Eco 200's);Pack;7,33
GNM10030201;Tisu (Livi Kitchen Towel);Roll;0
GNM10040201;Lakban bening 1/2';Pcs;0
MLP10010101;Gelas Cup Plastik 12 oz;Pcs;587
MLP10020101;Seal Cup Plastik;Rol;0,5336363636363636
MLP10040201;Kertas Nasi Bunga 25 (Gajah);Pack;0
MLP10050201;Kertas Nasi Putih;Pack;7,48
MLP10060201;Kresek 15 Putih (Tristar);Pack;5,87
MLP10070201;Kresek 24 Putih (Tristar);Pack;10,52
MLP10190201;Kresek 40 Putih (Tulip);Pack;0
MLP10080201;Trashbag 80 x 120 (Tulip);Pack;0
MLP10090201;Handglove Plastik (Osaka);Pack;10,52
MLP10100101;Karet;Bungkus;0
MLP10120201;Zip Plastik 7x10;Pack;0
MLP10180101;Plastik PE 15x30 (Uk 1Kg);Pack;0
MLP10160201;Plastik PE (Uk 2Kg);Pack;0
MLP10130101;Cup Pudding 200 ML;Pcs;11
MLP10140201;Sendok Pudding (727);Pcs;11
MLP10200101;Ripet ikat;Pack;0
TNM10100201;Packaging Polos;Pcs;0
XYZ10010201;Pembersih lantai floor;ML;0
XYZ10020201;Handsoap;ML;0
XYZ10030201;Karbol;ML;0
XYZ10040101;Anti Lalat;ML;0
XYZ10050201;Multy Purpose (Sabun Cuci);ML;0
XYZ10060201;Laundry Liquid detergen;ML;0
