Item name,SKU,Kategori,Barang yang terjual,Total penjualan,Barang yang dikembalikan,Jumlah pengembalian uang,Jumlah diskon,Total pendapatan,Cost of goods,Gross profit,Margin,Jumlah pajak
(Crew)Nasi + 2 Chiken Skin + Topping Manis + 1 Cup Es Teh,10200690,MAKAN CREW,1.000,10000.00,0.000,0.00,10000.00,0.00,4382.00,-4382.00,0.00%,0.00
(Crew)Nasi + Telur + Tempe Crispy + Topping Goang + 1 Cup Es Teh,10200490,MAKAN CREW,6.000,60000.00,0.000,0.00,60000.00,0.00,27078.00,-27078.00,0.00%,0.00
(Driver)Paket Ayam Crispy + Lalab + Es Teh Online,10711093,GO FOOD,9.000,142000.00,0.000,0.00,11763.00,130237.00,67554.00,62683.00,48.13%,0.00
(Driver)Paket Crispy Es Teh Manis + Lalab,10711094,GRABFOOD,1.000,16000.00,0.000,0.00,3080.00,12920.00,7506.00,5414.00,41.90%,0.00
(Makan Driver) Paket Ayam Crispy + Nasi + Es Teh Manis,10711090,DINE IN,5.000,75000.00,1.000,15000.00,0.00,60000.00,25536.00,34464.00,57.44%,0.00
3 Ayam Crisbar + 3 Nasi + 3 Es Teh,10311190,DINE IN,1.000,58000.00,0.000,0.00,0.00,58000.00,18609.00,39391.00,67.92%,0.00
3 Kol Crispy,70000100,DINE IN,4.000,8000.00,0.000,0.00,3765.00,4235.00,2156.00,2079.00,49.09%,0.00
3 Kol Crispy Online,70000104,GRABFOOD,17.000,51000.00,0.000,0.00,5396.00,45604.00,9163.00,36441.00,79.91%,0.00
3 Kol Crispy Online,70000103,GO FOOD,27.000,81000.00,0.000,0.00,3276.00,77724.00,14553.00,63171.00,81.28%,0.00
3 Kol Crispy Take Away,70000102,TAKE AWAY,2.000,4000.00,0.000,0.00,0.00,4000.00,1078.00,2922.00,73.05%,0.00
4 Ayam Crisbar Original/Geprek Ala Carte,10310103,GO FOOD,1.000,74500.00,0.000,0.00,14341.00,60159.00,23113.00,37046.00,61.58%,0.00
4 Ayam Crisbar Original/Geprek Ala Carte,10310104,GRABFOOD,2.000,150000.00,0.000,0.00,28875.00,121125.00,46226.00,74899.00,61.84%,0.00
4 Ayam Crisbar Original/Geprek Ala Carte,10310102,TAKE AWAY,2.000,111950.00,0.000,0.00,0.00,111950.00,46226.00,65724.00,58.71%,0.00
4 Ayam Crispy Original/Geprek Ala Carte,10310003,GO FOOD,3.000,172000.00,0.000,0.00,4884.00,167116.00,64446.00,102670.00,61.44%,0.00
4 Ayam Crispy Original/Geprek Ala Carte,10310004,GRABFOOD,5.000,284000.00,0.000,0.00,39549.00,244451.00,107410.00,137041.00,56.06%,0.00
4 Ayam Crispy Original/Geprek Ala Carte,10310002,TAKE AWAY,2.000,91950.00,0.000,0.00,0.00,91950.00,42964.00,48986.00,53.27%,0.00
Ayam Crisbar,10011100,DINE IN,5.000,80000.00,0.000,0.00,0.00,80000.00,22950.00,57050.00,71.31%,0.00
Ayam Crisbar Matah Takeaway,10910702,TAKE AWAY,1.000,19500.00,0.000,0.00,0.00,19500.00,0.00,19500.00,100.00%,0.00
Ayam Crisbar Online,10011103,GO FOOD,36.000,712500.00,0.000,0.00,42494.00,670006.00,224892.00,445114.00,66.43%,0.00
Ayam Crisbar Online,10011104,GRABFOOD,44.000,877000.00,0.000,0.00,121179.00,755821.00,274868.00,480953.00,63.63%,0.00
Ayam Crisbar Take Away,10011102,TAKE AWAY,26.000,429000.00,0.000,0.00,15000.00,414000.00,116246.00,297754.00,71.92%,0.00
Ayam Crispy,10010000,DINE IN,16.000,208000.00,0.000,0.00,155000.00,53000.00,66016.00,-13016.00,-24.56%,0.00
Ayam Crispy Geprek,10011000,DINE IN,6.000,78000.00,0.000,0.00,20000.00,58000.00,24756.00,33244.00,57.32%,0.00
Ayam Crispy Geprek Online,10011003,GO FOOD,7.000,108000.00,0.000,0.00,3917.00,104083.00,40481.00,63602.00,61.11%,0.00
Ayam Crispy Geprek Online,10011004,GRABFOOD,15.000,229000.00,0.000,0.00,25249.00,203751.00,86745.00,117006.00,57.43%,0.00
Ayam Crispy Geprek Take Away,10011002,TAKE AWAY,24.000,324000.00,0.000,0.00,0.00,324000.00,96168.00,227832.00,70.32%,0.00
Ayam Crispy Online,10010003,GO FOOD,2.000,32000.00,0.000,0.00,0.00,32000.00,11566.00,20434.00,63.86%,0.00
Ayam Crispy Online,10010004,GRABFOOD,1.000,15000.00,0.000,0.00,2888.00,12112.00,5783.00,6329.00,52.25%,0.00
Ayam Crispy Take Away,10010002,TAKE AWAY,8.000,108000.00,0.000,0.00,0.00,108000.00,32056.00,75944.00,70.32%,0.00
Ayam Goang,10011700,DINE IN,3.000,45000.00,0.000,0.00,30000.00,15000.00,12978.00,2022.00,13.48%,0.00
Ayam Goang Online,10011704,GRABFOOD,1.000,19000.00,0.000,0.00,3657.00,15343.00,5983.00,9360.00,61.01%,0.00
Ayam Goang Online,10011703,GO FOOD,6.000,111000.00,0.000,0.00,2261.00,108739.00,35898.00,72841.00,66.99%,0.00
Ayam Goang Take Away,10011702,TAKE AWAY,3.000,46500.00,0.000,0.00,0.00,46500.00,12621.00,33879.00,72.86%,0.00
Ayam Keju Online,10011503,GO FOOD,4.000,67000.00,0.000,0.00,2743.00,64257.00,26612.00,37645.00,58.59%,0.00
Ayam Keju Online,10011504,GRABFOOD,6.000,99000.00,0.000,0.00,13493.00,85507.00,39918.00,45589.00,53.32%,0.00
Ayam Keju Take Away,10011502,TAKE AWAY,4.000,58000.00,0.000,0.00,0.00,58000.00,19508.00,38492.00,66.37%,0.00
Ayam Mamah,10011300,DINE IN,1.000,15000.00,0.000,0.00,0.00,15000.00,5303.00,9697.00,64.65%,0.00
Ayam Mamah Online,10011304,GRABFOOD,3.000,57000.00,0.000,0.00,7316.00,49684.00,20880.00,28804.00,57.97%,0.00
